DATE ,PARTY NAME ,PARTICULAR ,COLOR ,IN-WORD,WASHING,OUT-WORD,EXTRA,RATE , AMOUNT ,DESIGN,G.P,2/,2=,2,2/=,111=,VIRUS ,QTY,,
7-Jul-2019,MILAN BANGLE,SENT,GOLDEN,,,250,250,150,37500,SADA BHAR (WHITE),5710,,250,,,,,,,
7-Jul-2019,MAKKAH BANGLE,SENT,GOLDEN,,,530,530,150,79500,TAJ MEHAL (WHITE),5711,130,400,,,,,,,
7-Jul-2019,QAZI AKRAM,SENT,GOLDEN,,,520,520,150,78000,TAJ MEHAL (WHITE),5712,300,150,70,,,,,,
7-Jul-2019,MILAN BANGLE,SENT,GOLDEN,,,200,200,150,30000,BARFI (WHITE),5713,,,,200,,,,,
7-Jul-2019,MILAN BANGLE,SENT,GOLDEN,,,325,325,150,48750,SADA BHAR (WHITE),5713,200,,125,,,,,,
7-Jul-2019,MAKKAH BANGLE,SENT,GOLDEN,,,465,465,150,69750,SADA BHAR (WHITE),5714,265,150,50,,,,,,
7-Jul-2019,MILAP BANGLE,SENT,GOLDEN,,,300,300,150,45000,TAJ MEHAL (WHITE),5715,150,100,50,,,,,,
7-Jul-2019,QAZI AKRAM,SENT,GOLDEN,,,219,219,150,32850,KAJAL (WHITE),5716,219,,,,,,,,
8-Jul-2019,REHAN FARHAN,RECEVIED,GOLDEN,300,,,,,0,GOLA (WHITE),,140,160,,,,,,,
8-Jul-2019,KASHIF BHAI TAHIR,RECEVIED,GOLDEN,345,,,,150,0,UJALA (WHITE),,345,,,,,,,,
8-Jul-2019,MAKKAH BANGLE,RECEVIED,GOLDEN,200,,,,,0,NAGIN (WHITE),,100,,100,,,,,,
8-Jul-2019,MILAN BANGLE,WASHING,GOLDEN,,300,,,150,0,BALDAR K (WHITE),,150,100,50,,,,,,
8-Jul-2019,MILAN BANGLE,WASHING,GOLDEN,,200,,,,0,NAGIN (WHITE),,,,,200,,,,,
8-Jul-2019,MILAN BANGLE,WASHING,GOLDEN,,80,,,150,0,JANOON (WHITE),,,,,80,,,,,
8-Jul-2019,MILAP BANGLE,WASHING,GOLDEN,,300,,,150,0,SADA BHAR (WHITE),,150,100,50,,,,,,
8-Jul-2019,MILAP BANGLE,WASHING,GOLDEN,,300,,,150,0,BARFI (WHITE),,150,100,50,,,,,,
8-Jul-2019,MILAP BANGLE,WASHING,GOLDEN,,120,,,150,0,KAJAL (WHITE),,60,40,20,,,,,,
8-Jul-2019,MILAN BANGLE,WASHING,GOLDEN,,300,,,150,0,UJALA (WHITE),,,150,150,,,,,,
8-Jul-2019,MILAP BANGLE,SENT,GOLDEN,,,600,600,150,90000,UJALA (WHITE),5717,300,200,100,,,,,,
8-Jul-2019,MAKKAH BANGLE,SENT,GOLDEN,,,250,250,150,37500,TAJ MEHAL (WHITE),5718,,,250,,,,,,
8-Jul-2019,MILAN BANGLE,SENT,GOLDEN,,,294,294,150,44100,NAGIN (WHITE),5719,50,,50,,194,,,,
8-Jul-2019,MILAN BANGLE,SENT,GOLDEN,,,40,40,150,6000,TAJ MEHAL (WHITE),5719,,,40,,,,,,
8-Jul-2019,MAKKAH BANGLE,SENT,GOLDEN,,,680,680,150,102000,TAJ MEHAL (WHITE),5720,187,318,175,,,,,,
8-Jul-2019,MAKKAH BANGLE,SENT,GOLDEN,,,135,135,150,20250,SADA BHAR (WHITE),5720,35,,100,,,,,,
9-Jul-2019,MILAN BANGLE,RECEVIED,GOLDEN,375,,,,150,0,JANOON (WHITE),,150,150,75,,,,,,
9-Jul-2019,MILAN BANGLE,RECEVIED,GOLDEN,100,,,,,0,NAGIN (WHITE),,,,,100,,,,,
9-Jul-2019,MILAN BANGLE,RECEVIED,GOLDEN,220,,,,150,0,TAJ MEHAL (WHITE),,,,,220,,,,,
9-Jul-2019,MILAN BANGLE,RECEVIED,GOLDEN,100,,,,,0,NAGIN (WHITE),,,,,,100,,,,
9-Jul-2019,QAZI AKRAM,RECEVIED,T.W,300,,,,,0,GOLA (BLUE),,50,150,100,,,,,,
9-Jul-2019,NEHAL SHAH,RECEVIED,GOLDEN,300,,,,150,0,CHANDANI (WHITE),,100,100,100,,,,,,
